k_u,k_v,cosine
6,9,0.0
6,7,0.05436144321895221
2,31,0.2301271757434537
3,25,0.040699341265384194
13,18,0.15708443444010275
2,5,0.13315854902259547
77,79,0.2007321401785772
4,79,0.19532528369713287
3,9,0.12087884126025372
3,5,0.08935563147720707
178,390,0.039820222025143744
2,6,0.019952405458399606
13,26,0.08066719823782276
7,10,0.12286998519685044
10,13,0.21001341556877265
2,13,0.08265031789327663
2,4,0.03504078498899193
2,5,0.07300878028523963
60,271,0.11644479019606009
5,9,0.22922111134779402
6,409,0.04161974562430276
43,255,0.17378641825869068
80,255,0.13752447697723308
255,847,0.174311089196619
2,4,0.0097069638378934
2,5,0.12167977754685441
3,4,0.11159427940965777
12,211,0.07806387696852465
4,22,0.054315940253499846
11,18,0.19003406897304037
23,886,0.16475750686569898
2,886,0.04819981612893589
10,23,0.08864597528147186
3,23,0.10800027847635858
18,463,0.10610262270095129
24,485,0.06450105289567323
11,271,0.08102760733966365
121,271,0.08526781956220494
2,271,0.17147454011841812
8,297,0.020359864508671246
93,102,0.1993623882508846
5,35,0.013491626961593818
2,35,0.03094204625902487
15,20,0.026797381328321126
6,26,0.043455540029478844
2,8,0.0243588945984949
14,53,0.21210197258756158
7,39,0.062264051640024215
19,20,0.06274157868482938
7,7,0.09408106525078432
10,16,0.0708540143222281
2,21,0.08163715275396412
2,3,0.01799817949030108
2,11,0.1007052101538401
17,24,0.18596634441707513
2,24,0.04368351599860585
81,377,0.10544115201525558
4,4,0.01390339271334035
18,21,0.11845031426677653
4,29,0.19326468661397495
194,363,0.1002204413121951
14,38,0.08581859707684393
18,24,0.2815952024216709
18,19,0.128192943529514
16,3070,0.01230818443132226
7,9,0.2422979789288559
32,133,0.016860552240774995
3,7,0.09670538629357174
6,12,0.07524727973112103
45,239,0.25099145200959583
31,98,0.1064221324356362
5,98,0.09341866775623989
473,1393,0.07326481972651952
7,1393,0.08317682375948812
19,1393,0.09153568535108463
4,13,0.032194040587333654
3,25,0.12211610597650546
18,46,0.024648114084587842
66,202,0.17460421668639106
202,2504,0.14787085904132619
4,11,0.05690691935541575
2,8,0.034208121133195074
4,68,0.006372226866304458
52,68,0.0035428637827294197
68,597,0.009370732856164103
4,60,0.06871315909758419
5,29,0.14744389065298286
29,35,0.1841509063380647
27,102,0.07180993331608654
8,102,0.09714838787572873
67,336,0.16692783392074004
4,288,0.1906979655769325
4,6,0.05487958887711707
5,6,0.11815085746196821
3,61,0.052024560740873936
18,71,0.11422750359550075
5,68,0.08386137216130593
112,168,0.1647230124726879
3,78,0.018259920952737905
9,22,0.2820119379795762
186,363,0.14695054270905805
62,363,0.03128243225875946
328,363,0.11904020951986863
21,607,0.14113746627956525
2,2,0.03990797720136442
13,25,0.22228420497410745
13,216,0.30739543694571786
3,7,0.042732686506120714
36,162,0.15393912862479245
101,162,0.10444478458916624
17,162,0.051398690429441285
4,19,0.11836484390143681
4,38,0.028451829440115664
13,34,0.08532178642232185
7,66,0.17470882390662362
10,10,0.03018156539626566
12,37,0.053981879561789556
11,30,0.05759710013104911
